Title,Year,Genre,imdbID,Path
The Stunt Man,1980,"Action, Comedy, Drama",tt0081568,images/1980/tt0081568.jpg
Where the Buffalo Roam,1980,"Biography, Comedy",tt0081748,images/1980/tt0081748.jpg
The Gong Show Movie,1980,Comedy,tt0080808,images/1980/tt0080808.jpg
Motel Hell,1980,"Comedy, Horror, Thriller",tt0081184,images/1980/tt0081184.jpg
Little Miss Marker,1980,"Comedy, Drama, Romance",tt0081063,images/1980/tt0081063.jpg
Oh Heavenly Dog,1980,"Comedy, Crime, Fantasy",tt0081269,images/1980/tt0081269.jpg
Divine Madness,1980,"Documentary, Comedy, Music",tt0080634,images/1980/tt0080634.jpg
He Knows You're Alone,1980,"Horror, Thriller",tt0080850,images/1980/tt0080850.jpg
Coast to Coast,1980,"Comedy, Drama, Romance",tt0080550,images/1980/tt0080550.jpg
Willie & Phil,1980,"Comedy, Drama, Romance",tt0081758,images/1980/tt0081758.jpg
Melvin and Howard,1980,"Comedy, Drama",tt0081150,images/1980/tt0081150.jpg
Roadie,1980,"Comedy, Musical",tt0081433,images/1980/tt0081433.jpg
Gloria,1980,"Crime, Drama, Thriller",tt0080798,images/1980/tt0080798.jpg
Kagemusha,1980,"Drama, History, War",tt0080979,images/1980/tt0080979.jpg
Resurrection,1980,"Drama, Fantasy",tt0081414,images/1980/tt0081414.jpg
Hide in Plain Sight,1980,Drama,tt0080868,images/1980/tt0080868.jpg
When Time Ran Out...,1980,"Action, Adventure, Drama",tt0081747,images/1980/tt0081747.jpg
Heaven's Gate,1980,"Adventure, Drama, Western",tt0080855,images/1980/tt0080855.jpg
Midnight Madness,1980,"Family, Comedy",tt0081159,images/1980/tt0081159.jpg
Loving Couples,1980,Comedy,tt0081080,images/1980/tt0081080.jpg
The Idolmaker,1980,"Biography, Drama, Music",tt0080913,images/1980/tt0080913.jpg
The Black Marble,1980,"Crime, Romance, Comedy",tt0080442,images/1980/tt0080442.jpg
Gilda Live,1980,"Comedy, Documentary",tt0080790,images/1980/tt0080790.jpg
Windows,1980,"Drama, Thriller",tt0081759,images/1980/tt0081759.jpg
Just Tell Me What You Want,1980,"Comedy, Romance",tt0080975,images/1980/tt0080975.jpg
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980,"Animation, Comedy, Family",tt0080461,images/1980/tt0080461.jpg
Carny,1980,Drama,tt0080500,images/1980/tt0080500.jpg
Why Would I Lie?,1980,"Comedy, Drama",tt0081753,images/1980/tt0081753.jpg
Nijinsky,1980,"Biography, Drama, Music",tt0081235,images/1980/tt0081235.jpg
Heart Beat,1980,Drama,tt0080854,images/1980/tt0080854.jpg
One-Trick Pony,1980,Drama,tt0081280,images/1980/tt0081280.jpg
"Those Lips, Those Eyes",1980,"Comedy, Romance",tt0081625,images/1980/tt0081625.jpg
A Small Circle of Friends,1980,Drama,tt0081528,images/1980/tt0081528.jpg
Leo and Loree,1980,"Romance, Comedy",tt0081044,images/1980/tt0081044.jpg
Home Movies,1980,Comedy,tt0079302,images/1980/tt0079302.jpg
Phobia,1980,"Drama, Horror, Thriller",tt0081334,images/1980/tt0081334.jpg
Breaking Glass,1980,"Drama, Musical",tt0080469,images/1980/tt0080469.jpg
Raiders of the Lost Ark,1981,"Action, Adventure",tt0082971,images/1981/tt0082971.jpg
On Golden Pond,1981,Drama,tt0082846,images/1981/tt0082846.jpg
Arthur,1981,"Comedy, Romance",tt0082031,images/1981/tt0082031.jpg
Stripes,1981,"Action, Comedy, War",tt0083131,images/1981/tt0083131.jpg
The Cannonball Run,1981,"Action, Comedy, Sport",tt0082136,images/1981/tt0082136.jpg
Chariots of Fire,1981,"Biography, Drama, Sport",tt0082158,images/1981/tt0082158.jpg
For Your Eyes Only,1981,"Action, Adventure, Thriller",tt0082398,images/1981/tt0082398.jpg
The Four Seasons,1981,"Comedy, Drama",tt0082405,images/1981/tt0082405.jpg
Time Bandits,1981,"Adventure, Comedy, Fantasy",tt0081633,images/1981/tt0081633.jpg
Absence of Malice,1981,"Drama, Romance, Thriller",tt0081974,images/1981/tt0081974.jpg
Reds,1981,"Biography, Drama, History",tt0082979,images/1981/tt0082979.jpg
The Fox and the Hound,1981,"Animation, Adventure, Drama",tt0082406,images/1981/tt0082406.jpg
"Tarzan, the Ape Man",1981,Adventure,tt0083170,images/1981/tt0083170.jpg
Taps,1981,Drama,tt0083169,images/1981/tt0083169.jpg
Sharky's Machine,1981,"Action, Crime, Drama",tt0083064,images/1981/tt0083064.jpg
Excalibur,1981,"Adventure, Drama, Fantasy",tt0082348,images/1981/tt0082348.jpg
History of the World: Part I,1981,Comedy,tt0082517,images/1981/tt0082517.jpg
Bustin' Loose,1981,Comedy,tt0082121,images/1981/tt0082121.jpg
The Great Muppet Caper,1981,"Comedy, Crime, Family",tt0082474,images/1981/tt0082474.jpg
Endless Love,1981,"Drama, Romance",tt0082329,images/1981/tt0082329.jpg
An American Werewolf in London,1981,"Comedy, Fantasy, Horror",tt0082010,images/1981/tt0082010.jpg
Fort Apache the Bronx,1981,"Crime, Drama",tt0082402,images/1981/tt0082402.jpg
The French Lieutenant's Woman,1981,"Drama, Romance",tt0082416,images/1981/tt0082416.jpg
Private Lessons,1981,Comedy,tt0082948,images/1981/tt0082948.jpg
Modern Problems,1981,"Comedy, Fantasy, Sci-Fi",tt0082763,images/1981/tt0082763.jpg
Halloween II,1981,Horror,tt0082495,images/1981/tt0082495.jpg
Only When I Laugh,1981,"Comedy, Drama",tt0082853,images/1981/tt0082853.jpg
Escape from New York,1981,"Action, Sci-Fi",tt0082340,images/1981/tt0082340.jpg
Body Heat,1981,"Crime, Drama, Thriller",tt0082089,images/1981/tt0082089.jpg
Ghost Story,1981,"Drama, Horror, Thriller",tt0082449,images/1981/tt0082449.jpg
Friday the 13th Part 2,1981,"Horror, Mystery, Thriller",tt0082418,images/1981/tt0082418.jpg
The Incredible Shrinking Woman,1981,"Comedy, Sci-Fi",tt0082558,images/1981/tt0082558.jpg
Mommie Dearest,1981,"Biography, Drama",tt0082766,images/1981/tt0082766.jpg
Paternity,1981,"Comedy, Romance",tt0082886,images/1981/tt0082886.jpg
Under the Rainbow,1981,Comedy,tt0083254,images/1981/tt0083254.jpg
The Howling,1981,Horror,tt0082533,images/1981/tt0082533.jpg
Eye of the Needle,1981,"Romance, Thriller, War",tt0082351,images/1981/tt0082351.jpg
Take This Job and Shove It,1981,Comedy,tt0083163,images/1981/tt0083163.jpg
Outland,1981,"Action, Crime, Sci-Fi",tt0082869,images/1981/tt0082869.jpg
The Devil and Max Devlin,1981,"Comedy, Family, Fantasy",tt0082263,images/1981/tt0082263.jpg
Caveman,1981,"Comedy, Sci-Fi",tt0082146,images/1981/tt0082146.jpg
Continental Divide,1981,"Comedy, Romance",tt0082200,images/1981/tt0082200.jpg
The Night the Lights Went Out in Georgia,1981,"Drama, Music",tt0082816,images/1981/tt0082816.jpg
Nighthawks,1981,"Action, Crime, Thriller",tt0082817,images/1981/tt0082817.jpg
S.O.B.,1981,Comedy,tt0083015,images/1981/tt0083015.jpg
Rich and Famous,1981,Drama,tt0082992,images/1981/tt0082992.jpg
Dragonslayer,1981,"Action, Adventure, Fantasy",tt0082288,images/1981/tt0082288.jpg
True Confessions,1981,"Crime, Drama",tt0083232,images/1981/tt0083232.jpg
Atlantic City Alive,1981,Musical,tt1614571,images/1981/tt1614571.jpg
The Legend of the Lone Ranger,1981,"Action, Adventure, Western",tt0082648,images/1981/tt0082648.jpg
First Monday in October,1981,"Comedy, Drama",tt0082382,images/1981/tt0082382.jpg
The Postman Always Rings Twice,1981,"Crime, Drama, Thriller",tt0082934,images/1981/tt0082934.jpg
Comin' at Ya!,1981,Western,tt0082193,images/1981/tt0082193.jpg
Blow Out,1981,"Drama, Mystery, Thriller",tt0082085,images/1981/tt0082085.jpg
Back Roads,1981,"Adventure, Comedy, Romance",tt0082042,images/1981/tt0082042.jpg
Thief,1981,"Action, Crime, Drama",tt0083190,images/1981/tt0083190.jpg
Ragtime,1981,Drama,tt0082970,images/1981/tt0082970.jpg
Victory,1981,"Action, Drama, Sport",tt0083284,images/1981/tt0083284.jpg
Rollover,1981,"Drama, Mystery, Romance",tt0083006,images/1981/tt0083006.jpg
Wolfen,1981,"Horror, Thriller",tt0083336,images/1981/tt0083336.jpg
Carbon Copy,1981,Comedy,tt0082138,images/1981/tt0082138.jpg
Pennies from Heaven,1981,"Drama, Musical, Romance",tt0082894,images/1981/tt0082894.jpg
Deadly Blessing,1981,Horror,tt0082245,images/1981/tt0082245.jpg
Whose Life Is It Anyway?,1981,Drama,tt0083326,images/1981/tt0083326.jpg
Prince of the City,1981,"Crime, Drama",tt0082945,images/1981/tt0082945.jpg
Buddy Buddy,1981,Comedy,tt0082111,images/1981/tt0082111.jpg
...All the Marbles,1981,"Comedy, Drama, Sport",tt0081964,images/1981/tt0081964.jpg
Eyewitness,1981,"Romance, Thriller",tt0082353,images/1981/tt0082353.jpg
Gallipoli,1981,"Adventure, Drama, History",tt0082432,images/1981/tt0082432.jpg
Going Ape!,1981,"Comedy, Crime, Family",tt0082457,images/1981/tt0082457.jpg
Student Bodies,1981,"Comedy, Horror",tt0083133,images/1981/tt0083133.jpg
All Night Long,1981,"Comedy, Drama, Romance",tt0082001,images/1981/tt0082001.jpg
The Pursuit of D.B. Cooper,1981,"Adventure, Crime, Thriller",tt0082958,images/1981/tt0082958.jpg
Zoot Suit,1981,"Drama, Musical",tt0083365,images/1981/tt0083365.jpg
Gas,1981,Comedy,tt0082440,images/1981/tt0082440.jpg
Modern Romance,1981,"Comedy, Romance",tt0082764,images/1981/tt0082764.jpg
The Hand,1981,"Drama, Horror, Thriller",tt0082497,images/1981/tt0082497.jpg
Heartbeeps,1981,"Sci-Fi, Comedy",tt0082507,images/1981/tt0082507.jpg
This Is Elvis,1981,"Biography, Music",tt0083193,images/1981/tt0083193.jpg
Sphinx,1981,"Adventure, Mystery, Thriller",tt0083113,images/1981/tt0083113.jpg
Honky Tonk Freeway,1981,"Action, Comedy",tt0082525,images/1981/tt0082525.jpg
Raggedy Man,1981,Drama,tt0082969,images/1981/tt0082969.jpg
King of the Mountain,1981,Drama,tt0082619,images/1981/tt0082619.jpg
Cutter's Way,1981,"Crime, Drama, Mystery",tt0082220,images/1981/tt0082220.jpg
Silence of the North,1981,Drama,tt0083079,images/1981/tt0083079.jpg
From Mao to Mozart: Isaac Stern in China,1981,"Documentary, Music",tt0080762,images/1981/tt0080762.jpg
Night School,1981,"Horror, Mystery",tt0082812,images/1981/tt0082812.jpg
Eyes of a Stranger,1981,"Horror, Thriller",tt0082352,images/1981/tt0082352.jpg
Cattle Annie and Little Britches,1981,"Drama, Western",tt0082145,images/1981/tt0082145.jpg
Hard Country,1981,Drama,tt0082499,images/1981/tt0082499.jpg
Man of Iron,1981,"Drama, History",tt0082222,images/1981/tt0082222.jpg
Kelly,1981,Drama,tt0082606,images/1981/tt0082606.jpg
Second-Hand Hearts,1981,Comedy,tt0083041,images/1981/tt0083041.jpg
E.T.: The Extra-Terrestrial,1982,"Family, Sci-Fi",tt0308201,images/1982/tt0308201.jpg
Tootsie,1982,"Comedy, Drama, Romance",tt0084805,images/1982/tt0084805.jpg
An Officer and a Gentleman,1982,"Drama, Romance",tt0084434,images/1982/tt0084434.jpg
Rocky III,1982,"Drama, Sport",tt0084602,images/1982/tt0084602.jpg
Star Trek II: The Wrath of Khan,1982,"Action, Adventure, Drama",tt0084726,images/1982/tt0084726.jpg
48 Hrs.,1982,"Action, Comedy, Crime",tt0083511,images/1982/tt0083511.jpg
Poltergeist,1982,"Fantasy, Horror",tt0084516,images/1982/tt0084516.jpg
The Best Little Whorehouse in Texas,1982,"Comedy, Musical",tt0083642,images/1982/tt0083642.jpg
Annie,1982,"Comedy, Drama, Family",tt0083564,images/1982/tt0083564.jpg
The Verdict,1982,Drama,tt0084855,images/1982/tt0084855.jpg
Gandhi,1982,"Biography, Drama, History",tt0083987,images/1982/tt0083987.jpg
First Blood,1982,"Action, Thriller",tt0083944,images/1982/tt0083944.jpg
The Toy,1982,Comedy,tt0084809,images/1982/tt0084809.jpg
Firefox,1982,"Action, Adventure, Thriller",tt0083943,images/1982/tt0083943.jpg
The Dark Crystal,1982,"Animation, Adventure, Family",tt0083791,images/1982/tt0083791.jpg
Conan the Barbarian,1982,"Adventure, Fantasy",tt0082198,images/1982/tt0082198.jpg
The Sword and the Sorcerer,1982,"Action, Adventure, Fantasy",tt0084749,images/1982/tt0084749.jpg
Best Friends,1982,"Comedy, Drama, Romance",tt0083641,images/1982/tt0083641.jpg
Richard Pryor: Live on the Sunset Strip,1982,"Documentary, Comedy",tt0084597,images/1982/tt0084597.jpg
Friday the 13th Part III,1982,"Horror, Thriller",tt0083972,images/1982/tt0083972.jpg
TRON,1982,"Action, Adventure, Sci-Fi",tt0084827,images/1982/tt0084827.jpg
Young Doctors in Love,1982,Comedy,tt0084938,images/1982/tt0084938.jpg
Sophie's Choice,1982,"Drama, Romance",tt0084707,images/1982/tt0084707.jpg
The World According to Garp,1982,"Comedy, Drama",tt0084917,images/1982/tt0084917.jpg
Victor Victoria,1982,"Comedy, Music, Musical",tt0084865,images/1982/tt0084865.jpg
Blade Runner,1982,"Sci-Fi, Thriller",tt0083658,images/1982/tt0083658.jpg
Airplane II: The Sequel,1982,"Comedy, Sci-Fi",tt0083530,images/1982/tt0083530.jpg
Fast Times at Ridgemont High,1982,"Comedy, Drama",tt0083929,images/1982/tt0083929.jpg
Some Kind of Hero,1982,"Comedy, Crime, Drama",tt0083107,images/1982/tt0083107.jpg
Pink Floyd The Wall,1982,"Animation, Drama, Musical",tt0084503,images/1982/tt0084503.jpg
Things Are Tough All Over,1982,"Comedy, Action",tt0084788,images/1982/tt0084788.jpg
Night Shift,1982,Comedy,tt0084412,images/1982/tt0084412.jpg
Creepshow,1982,"Comedy, Fantasy, Horror",tt0083767,images/1982/tt0083767.jpg
The Quest for Fire Adventure,1982,"Documentary, Short",tt0461830,images/1982/tt0461830.jpg
The Man from Snowy River,1982,"Adventure, Drama, Family",tt0084296,images/1982/tt0084296.jpg
Six Pack,1982,"Comedy, Drama, Sport",tt0084690,images/1982/tt0084690.jpg
My Favorite Year,1982,Comedy,tt0084370,images/1982/tt0084370.jpg
Deathtrap,1982,"Comedy, Crime, Mystery",tt0083806,images/1982/tt0083806.jpg
Dead Men Don't Wear Plaid,1982,"Comedy, Crime, Mystery",tt0083798,images/1982/tt0083798.jpg
Zapped!,1982,"Comedy, Fantasy, Sci-Fi",tt0084945,images/1982/tt0084945.jpg
They Call Me Bruce?,1982,"Comedy, Action",tt0084786,images/1982/tt0084786.jpg
Death Wish II,1982,"Action, Crime, Drama",tt0082250,images/1982/tt0082250.jpg
Kiss Me Goodbye,1982,"Comedy, Fantasy, Romance",tt0084210,images/1982/tt0084210.jpg
Grease 2,1982,"Comedy, Drama, Musical",tt0084021,images/1982/tt0084021.jpg
The Secret of NIMH,1982,"Animation, Adventure, Drama",tt0084649,images/1982/tt0084649.jpg
Halloween III: Season of the Witch,1982,"Horror, Sci-Fi",tt0085636,images/1982/tt0085636.jpg
Diner,1982,"Comedy, Drama",tt0083833,images/1982/tt0083833.jpg
The Beastmaster,1982,"Action, Adventure, Fantasy",tt0083630,images/1982/tt0083630.jpg
Missing,1982,"Drama, History, Mystery",tt0084335,images/1982/tt0084335.jpg
Visiting Hours,1982,"Horror, Thriller",tt0083296,images/1982/tt0083296.jpg
Vice Squad,1982,"Action, Crime, Drama",tt0084861,images/1982/tt0084861.jpg
Author! Author!,1982,"Comedy, Drama, Family",tt0083598,images/1982/tt0083598.jpg
Amityville II: The Possession,1982,Horror,tt0083550,images/1982/tt0083550.jpg
Monsignor,1982,"Crime, Drama, War",tt0084351,images/1982/tt0084351.jpg
Making Love,1982,Drama,tt0084293,images/1982/tt0084293.jpg
The Seduction,1982,Thriller,tt0084652,images/1982/tt0084652.jpg
Silent Rage,1982,"Action, Horror, Sci-Fi",tt0084684,images/1982/tt0084684.jpg
Savannah Smiles,1982,"Comedy, Family",tt0084633,images/1982/tt0084633.jpg
Hanky Panky,1982,"Action, Comedy, Crime",tt0084049,images/1982/tt0084049.jpg
Shoot the Moon,1982,Drama,tt0084675,images/1982/tt0084675.jpg
A Midsummer Night's Sex Comedy,1982,Comedy,tt0084329,images/1982/tt0084329.jpg
Trail of the Pink Panther,1982,"Comedy, Crime, Mystery",tt0084814,images/1982/tt0084814.jpg
If You Could See What I Hear,1982,"Biography, Comedy, Drama",tt0084117,images/1982/tt0084117.jpg
Night Crossing,1982,"Drama, Family, History",tt0082810,images/1982/tt0082810.jpg
The Pirate Movie,1982,"Adventure, Comedy, Musical",tt0084504,images/1982/tt0084504.jpg
The Beast Within,1982,Horror,tt0083629,images/1982/tt0083629.jpg
Tex,1982,Drama,tt0084783,images/1982/tt0084783.jpg
The Missionary,1982,Comedy,tt0083449,images/1982/tt0083449.jpg
Cat People,1982,"Drama, Fantasy, Horror",tt0083722,images/1982/tt0083722.jpg
I Ought to Be in Pictures,1982,"Comedy, Drama",tt0084109,images/1982/tt0084109.jpg
Six Weeks,1982,Drama,tt0084691,images/1982/tt0084691.jpg
Forced Vengeance,1982,"Action, Adventure, Crime",tt0083960,images/1982/tt0083960.jpg
The Last Unicorn,1982,"Family, Animation, Fantasy",tt0084237,images/1982/tt0084237.jpg
The Soldier,1982,"Action, Adventure, Thriller",tt0084704,images/1982/tt0084704.jpg
The Border,1982,"Crime, Drama",tt0083678,images/1982/tt0083678.jpg
Evil Under the Sun,1982,Mystery,tt0083908,images/1982/tt0083908.jpg
Partners,1982,"Comedy, Crime",tt0084477,images/1982/tt0084477.jpg
Still of the Night,1982,"Crime, Drama, Mystery",tt0084732,images/1982/tt0084732.jpg
The Last American Virgin,1982,"Comedy, Drama, Romance",tt0084234,images/1982/tt0084234.jpg
Megaforce,1982,"Sci-Fi, Action",tt0084316,images/1982/tt0084316.jpg
Personal Best,1982,"Drama, Sport",tt0084489,images/1982/tt0084489.jpg
Paradise,1982,"Adventure, Romance",tt0084469,images/1982/tt0084469.jpg
Cannery Row,1982,"Comedy, Drama",tt0083717,images/1982/tt0083717.jpg
Heidi's Song,1982,"Animation, Family, Musical",tt0084060,images/1982/tt0084060.jpg
Tempest,1982,"Comedy, Drama, Fantasy",tt0084776,images/1982/tt0084776.jpg
Summer Lovers,1982,"Comedy, Drama, Romance",tt0084737,images/1982/tt0084737.jpg
Wrong Is Right,1982,"Comedy, Drama, Thriller",tt0084920,images/1982/tt0084920.jpg
Fighting Back,1982,"Action, Crime, Drama",tt0083936,images/1982/tt0083936.jpg
Penitentiary II,1982,Drama,tt0084485,images/1982/tt0084485.jpg
The Challenge,1982,"Action, Drama",tt0083726,images/1982/tt0083726.jpg
Homework,1982,"Comedy, Drama",tt0084084,images/1982/tt0084084.jpg
Jinxed!,1982,Comedy,tt0084173,images/1982/tt0084173.jpg
It Came from Hollywood,1982,"Documentary, Comedy",tt0084156,images/1982/tt0084156.jpg
A Stranger Is Watching,1982,"Crime, Horror, Thriller",tt0084735,images/1982/tt0084735.jpg
A Little Sex,1982,"Comedy, Romance",tt0084259,images/1982/tt0084259.jpg
"Yes, Giorgio",1982,"Comedy, Musical",tt0084931,images/1982/tt0084931.jpg
Emmanuelle Exposed,1982,Drama,tt0084449,images/1982/tt0084449.jpg
Barbarosa,1982,Western,tt0083619,images/1982/tt0083619.jpg
"I, the Jury",1982,"Crime, Drama, Mystery",tt0084112,images/1982/tt0084112.jpg
Endangered Species,1982,"Drama, Mystery, Thriller",tt0083885,images/1982/tt0083885.jpg
The Sender,1982,"Horror, Thriller",tt0084658,images/1982/tt0084658.jpg
Lookin' to Get Out,1982,Comedy,tt0084268,images/1982/tt0084268.jpg
The House Where Evil Dwells,1982,Horror,tt0084096,images/1982/tt0084096.jpg
The Making of 'One from the Heart',1982,"Documentary, Short",tt0456525,images/1982/tt0456525.jpg
The Weavers: Wasn't That a Time,1982,"Documentary, Music",tt0084894,images/1982/tt0084894.jpg
Monty Python Live at the Hollywood Bowl,1982,"Documentary, Comedy",tt0084352,images/1982/tt0084352.jpg
I'm Dancing as Fast as I Can,1982,"Biography, Drama",tt0084111,images/1982/tt0084111.jpg
Split Image,1982,"Drama, Romance",tt0084714,images/1982/tt0084714.jpg
Five Days One Summer,1982,Drama,tt0083947,images/1982/tt0083947.jpg
The Escape Artist,1982,"Crime, Drama",tt0083900,images/1982/tt0083900.jpg
White Dog,1982,"Drama, Horror, Thriller",tt0084899,images/1982/tt0084899.jpg
Hammett,1982,"Crime, Drama, Mystery",tt0085640,images/1982/tt0085640.jpg
"Ladies and Gentlemen, the Fabulous Stains",1982,"Comedy, Drama, Music",tt0082639,images/1982/tt0082639.jpg
Return of the Jedi,1983,"Action, Adventure, Sci-Fi",tt2301123,images/1983/tt2301123.jpg
Terms of Endearment,1983,"Comedy, Drama",tt0086425,images/1983/tt0086425.jpg
Flashdance,1983,"Drama, Romance, Music",tt0085549,images/1983/tt0085549.jpg
Trading Places,1983,Comedy,tt0086465,images/1983/tt0086465.jpg
WarGames,1983,"Sci-Fi, Thriller",tt0086567,images/1983/tt0086567.jpg
Octopussy,1983,"Action, Adventure, Thriller",tt0086034,images/1983/tt0086034.jpg
Sudden Impact,1983,"Action, Thriller",tt0086383,images/1983/tt0086383.jpg
Staying Alive,1983,"Drama, Music, Romance",tt0086361,images/1983/tt0086361.jpg
Mr. Mom,1983,"Comedy, Drama",tt0085970,images/1983/tt0085970.jpg
Risky Business,1983,"Comedy, Crime, Drama",tt0086200,images/1983/tt0086200.jpg
National Lampoon's Vacation,1983,"Adventure, Comedy",tt0085995,images/1983/tt0085995.jpg
Superman III,1983,"Action, Comedy, Sci-Fi",tt0086393,images/1983/tt0086393.jpg
The Big Chill,1983,"Comedy, Drama",tt0085244,images/1983/tt0085244.jpg
Never Say Never Again,1983,"Action, Adventure, Thriller",tt0086006,images/1983/tt0086006.jpg
Jaws 3-D,1983,Horror,tt0085750,images/1983/tt0085750.jpg
Blue Thunder,1983,"Action, Crime, Drama",tt0085255,images/1983/tt0085255.jpg
Yentl,1983,"Drama, Musical, Romance",tt0086619,images/1983/tt0086619.jpg
Silkwood,1983,"Biography, Drama, History",tt0086312,images/1983/tt0086312.jpg
Psycho II,1983,"Crime, Horror, Mystery",tt0086154,images/1983/tt0086154.jpg
Porky's II: The Next Day,1983,Comedy,tt0086129,images/1983/tt0086129.jpg
Uncommon Valor,1983,"Action, Drama, Thriller",tt0086508,images/1983/tt0086508.jpg
